boletin,topic_primary,topic_secondary,reviewer,method,confidence,rationale,reviewed_at,taxonomy_version,status
18182-07,Constitución y justicia,,modelo_lenguaje_piloto,revision_semantica,0.97,"El objeto es depuración y derogación expresa de una norma obsoleta del ordenamiento; la referencia al Diario Oficial es instrumental.",2026-09-02,institutional-hybrid-v0.3,aprobado
18184-07,Constitución y justicia,"Relaciones exteriores",modelo_lenguaje_piloto,revision_semantica,0.94,"La iniciativa deroga una norma histórica obsoleta; el componente fronterizo/consular es secundario frente al propósito de depuración normativa.",2026-09-02,institutional-hybrid-v0.3,aprobado
18187-07,Constitución y justicia,"Economía y hacienda",modelo_lenguaje_piloto,revision_semantica,0.94,"Aunque la ley derogada versa sobre moneda, la iniciativa no diseña política monetaria: realiza depuración legislativa expresa.",2026-09-02,institutional-hybrid-v0.3,aprobado
18188-07,Constitución y justicia,"Economía, comercio y consumidores",modelo_lenguaje_piloto,revision_semantica,0.94,"El propósito inmediato es derogar una norma obsoleta; la prohibición histórica de exportación de metales constituye el ámbito sectorial secundario.",2026-09-02,institutional-hybrid-v0.3,aprobado
18343-16,Administración parlamentaria,,modelo_lenguaje_piloto,revision_semantica,0.99,"Modifica directamente el Reglamento de la Cámara y el quórum de decisiones disciplinarias de su Comisión de Ética.",2026-09-02,institutional-hybrid-v0.3,aprobado
18394-16,Administración parlamentaria,,modelo_lenguaje_piloto,revision_semantica,0.99,"Regula el acceso de una autoridad del Ejecutivo a las sesiones de Sala mediante una reforma al Reglamento de la Cámara.",2026-09-02,institutional-hybrid-v0.3,aprobado
18183-07,Constitución y justicia,"Relaciones exteriores",modelo_lenguaje_piloto,revision_semantica,0.94,"Es parte de una serie de derogaciones de legislación obsoleta; la actuación consular vinculada a naves es el contenido histórico secundario.",2026-09-02,institutional-hybrid-v0.3,aprobado
18591-07,Constitución y justicia,"Economía y hacienda",modelo_lenguaje_piloto,revision_semantica,0.95,"La materia central es el procedimiento sucesorio y el acceso de herederos a bienes de la herencia; los activos financieros son el objeto patrimonial secundario.",2026-09-02,institutional-hybrid-v0.3,aprobado
18564-07,Minería y energía,"Economía y hacienda | Constitución y justicia",modelo_lenguaje_piloto,revision_semantica,0.93,"La finalidad sustantiva es incentivar generación solar residencial evitando un desincentivo tributario; el instrumento es tributario y constitucional.",2026-09-02,institutional-hybrid-v0.3,aprobado
18609-07,Constitución y justicia,"Gobierno interior y descentralización",modelo_lenguaje_piloto,revision_semantica,0.97,"Consagra constitucionalmente un principio rector anticorrupción; probidad e integridad estatal son una dimensión secundaria.",2026-09-02,institutional-hybrid-v0.3,aprobado
18390-07,Constitución y justicia,"Ciencia y tecnología",modelo_lenguaje_piloto,revision_semantica,0.96,"Reforma el procedimiento de posesiones efectivas e inventarios hereditarios; la digitalización es el mecanismo de modernización secundario.",2026-09-02,institutional-hybrid-v0.3,aprobado
18373-07,Seguridad,"Constitución y justicia | Economía y hacienda",modelo_lenguaje_piloto,revision_semantica,0.92,"Fortalece la inteligencia financiera contra lavado de activos y financiamiento del terrorismo; secreto bancario y control judicial son garantías secundarias.",2026-09-02,institutional-hybrid-v0.3,aprobado
18219-07,Constitución y justicia,"Trabajo y seguridad social | Gobierno interior y descentralización",modelo_lenguaje_piloto,revision_semantica,0.91,"La institución central es el estatuto jurídico de protección al denunciante de corrupción y criminalidad económica; la protección laboral y la probidad pública son dimensiones conexas.",2026-09-02,institutional-hybrid-v0.3,aprobado
18323-07,Seguridad,"Agricultura y mundo rural | Constitución y justicia",modelo_lenguaje_piloto,revision_semantica,0.99,"El objeto declarado es fortalecer persecución y sanción del abigeato; las normas sanitarias y agropecuarias forman parte de la cadena delictiva regulada.",2026-09-02,institutional-hybrid-v0.3,aprobado
18459-05,Economía y hacienda,"Constitución y justicia",modelo_lenguaje_piloto,revision_semantica,0.97,"Regula qué puede constituir hecho gravado, base imponible u obligación tributaria; el vínculo con conductas ilícitas introduce una dimensión jurídica secundaria.",2026-09-02,institutional-hybrid-v0.3,aprobado
18327-07,Administración parlamentaria,"Constitución y justicia",modelo_lenguaje_piloto,revision_semantica,0.98,"Regula el cumplimiento de funciones de diputados y senadores durante la semana territorial y las sanciones por incumplimiento.",2026-09-02,institutional-hybrid-v0.3,aprobado
18137-05,Minería y energía,"Economía y hacienda",modelo_lenguaje_piloto,revision_semantica,0.98,"La medida responde a una emergencia energética y busca contener el precio del kerosene; el mecanismo fiscal es instrumental y secundario.",2026-09-02,institutional-hybrid-v0.3,aprobado
18562-07,Gobierno interior y descentralización,"Seguridad | Constitución y justicia",modelo_lenguaje_piloto,revision_semantica,0.92,"La regulación recae sobre probidad, requisitos y cesación de altas autoridades y directivos públicos; narcotráfico y drogas explican la finalidad preventiva secundaria.",2026-09-02,institutional-hybrid-v0.3,aprobado
18568-07,Salud,"Constitución y justicia | Mujeres y género",modelo_lenguaje_piloto,revision_semantica,0.91,"El problema descrito es el acceso clandestino y riesgoso a medicamentos abortivos; la sanción penal y la regulación del aborto son dimensiones jurídicas y de género secundarias.",2026-09-02,institutional-hybrid-v0.3,aprobado
18536-07,Derechos humanos,"Constitución y justicia",modelo_lenguaje_piloto,revision_semantica,0.97,"La iniciativa protege frente a ofensas raciales y discriminación; la tipificación penal es el instrumento jurídico para esa tutela.",2026-09-02,institutional-hybrid-v0.3,aprobado
