boletin,titulo,origen_iniciativa,comision_origen_proxy,comisiones_tramitacion,topic_primary,topic_secondary,method,confidence,needs_review,review_reason,evidence,taxonomy_version,auto_topic_primary,auto_topic_secondary,reviewer,review_rationale,reviewed_at
18131-06,"Modifica la ley Nº 18.575, orgánica constitucional de Bases Generales de la Administración del Estado, para incorporar una nueva infracción al principio de probidad administrativa, relacionada con la contratación o nombramiento de personas inhabilitadas para trabajar con niños, niñas o adolescentes",parlamentario,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización","Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",Gobierno interior y descentralización,,institucional_destinacion,0.97,0,,"comision_origen=Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",institutional-hybrid-v0.3,Gobierno interior y descentralización,,,,
18132-04,"Modifica la ley Nº 20.370, General de Educación, para sancionar a padres y apoderados cuyos hijos o pupilos participen en hechos constitutivos de acoso escolar",parlamentario,Educación,Educación,Educación,,institucional_destinacion,0.97,0,,comision_origen=Educación,institutional-hybrid-v0.3,Educación,,,,
18133-07,Modifica la Carta Fundamental para asignar a las Fuerzas Armadas un rol coadyuvante en el resguardo del orden público y la seguridad interior del país,parlamentario,"Constitución, Legislación, Justicia y Reglamento","Constitución, Legislación, Justicia y Reglamento",Seguridad,Defensa | Constitución y justicia,revision_semantica,0.97,0,,"origen=Constitución, Legislación, Justicia y Reglamento || score_1=Defensa:15.25 || score_2=Seguridad:13.25",institutional-hybrid-v0.3,Defensa,Seguridad | Constitución y justicia,modelo_lenguaje_revision_completa,La finalidad es reforzar orden público y seguridad interior mediante un rol coadyuvante de las Fuerzas Armadas; defensa identifica el actor institucional utilizado.,2026-09-02
18135-06,"Modifica la ley N° 18.575, orgánica constitucional de Bases Generales de la Administración del Estado, para resguardar la soberanía nacional en la ejecución de políticas públicas",parlamentario,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización","Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",Gobierno interior y descentralización,,institucional_destinacion,0.97,0,,"comision_origen=Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",institutional-hybrid-v0.3,Gobierno interior y descentralización,,,,
18136-11,Modifica el Código Sanitario para exigir que el etiquetado de medicamentos y vacunas contenga información sobre precauciones y efectos adversos,parlamentario,Salud,Salud,Salud,,institucional_destinacion,0.97,0,,comision_origen=Salud,institutional-hybrid-v0.3,Salud,,,,
18138-07,Modifica la Carta Fundamental para reconocer el derecho de todas las personas a la autodeterminación en materia de inmunización,parlamentario,"Constitución, Legislación, Justicia y Reglamento","Constitución, Legislación, Justicia y Reglamento",Salud,Constitución y justicia,hibrido_institucional_texto,0.92,0,,"origen=Constitución, Legislación, Justicia y Reglamento || score_1=Salud:21.50 || score_2=Constitución y justicia:11.25",institutional-hybrid-v0.3,Salud,Constitución y justicia,,,
18140-07,Modifica la Carta Fundamental para garantizar la autonomía estratégica en inversiones relevantes,parlamentario,"Constitución, Legislación, Justicia y Reglamento","Constitución, Legislación, Justicia y Reglamento","Economía, comercio y consumidores",Relaciones exteriores | Ciencia y tecnología | Minería y energía,revision_semantica,0.89,0,,"origen=Constitución, Legislación, Justicia y Reglamento || score_1=Constitución y justicia:9.00 || score_2=Economía, comercio y consumidores:3.00",institutional-hybrid-v0.3,Constitución y justicia,,modelo_lenguaje_revision_completa,"La iniciativa busca proteger autonomía estratégica frente a inversiones relevantes en infraestructura, datos y energía; regulación económica de inversiones es el eje, con dimensiones geopolíticas y tecnológicas.",2026-09-02
18141-07,Modifica la Carta Fundamental para establecer un Proyecto Educativo Nacional,parlamentario,"Constitución, Legislación, Justicia y Reglamento","Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,Educación,hibrido_institucional_texto,0.83,0,,"origen=Constitución, Legislación, Justicia y Reglamento || score_1=Constitución y justicia:10.50 || score_2=Educación:6.00",institutional-hybrid-v0.3,Constitución y justicia,Educación,,,
18143-07,Modifica la Carta Fundamental para habilitar la convocatoria a plebiscito con el objeto de restituir la pena de muerte en los casos que indica,parlamentario,"Constitución, Legislación, Justicia y Reglamento","Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,,hibrido_institucional_texto,0.92,0,,"origen=Constitución, Legislación, Justicia y Reglamento || score_1=Constitución y justicia:13.50 || score_2=Gobierno interior y descentralización:2.25",institutional-hybrid-v0.3,Constitución y justicia,,,,
18151-24,"Modifica la ley N° 19.132, que crea empresa Televisión Nacional de Chile, con el objeto de modernizar su misión y estrategia de gobernanza",parlamentario,"Cultura, Artes y Comunicaciones","Constitución, Legislación, Justicia y Reglamento | Cultura, Artes y Comunicaciones",Cultura y comunicaciones,Constitución y justicia,institucional_destinacion,0.97,0,,"comision_origen=Cultura, Artes y Comunicaciones",institutional-hybrid-v0.3,Cultura y comunicaciones,Constitución y justicia,,,
18134-11,"Modifica la ley N° 20.606, sobre composición nutricional de los alimentos y su publicidad, para exigir a los establecimientos que expendan alimentos preparados para el consumo humano, que informen si contienen o han sido elaborados con alguno de los ingredientes que indica",parlamentario,Salud,Salud,Salud,,institucional_destinacion,0.97,0,,comision_origen=Salud,institutional-hybrid-v0.3,Salud,,,,
18137-05,"Adopta medidas transitorias para contener el precio del kerosene doméstico en el contexto de la emergencia energética internacional, y otras medidas que indica",ejecutivo,Hacienda,Hacienda,Minería y energía,Economía y hacienda,revision_semantica,0.98,0,,origen=Hacienda || score_1=Minería y energía:18.50 || score_2=Economía y hacienda:17.00,institutional-hybrid-v0.3,Minería y energía,Economía y hacienda,modelo_lenguaje_piloto,La medida responde a una emergencia energética y busca contener el precio del kerosene; el mecanismo fiscal es instrumental y secundario.,2026-09-02
