vote_id,rank_within_omnibus,abs_spread,process_type,substantive_family,subfamily,evidence_level,interpretive_unit,status,summary,notes
88938,2,1.58571815,article_original,F8_security_customs_misc_administration,coin_transport_private_security,IV,COIN_TRANSPORT_ARTICLE28,closed,"Flexibiliza el régimen de seguridad aplicable al transporte de monedas metálicas chilenas, permitiendo condiciones diferenciadas para transportistas legalmente constituidos distintos de empresas especializadas de transporte de valores","142 sí / 10 no. Segundo roll call más discriminante del omnibus, pero la minoría es delgada: control negativo para no confundir discriminación matemática con clivaje amplio"
88900,10,1.52578509,article_original,F3_investment_legal_certainty_regulatory_facilitation,public_procurement_concessions_flexibility_integrity,I,PUBLIC_PROCUREMENT_CONCESSIONS_ARTICLE4,closed,"Modifica reglas de contratación pública aplicables a obras y concesiones, flexibilizando determinadas incompatibilidades y permitiendo diálogo técnico prelicitatorio fuera de Mercado Público en concesiones","77 sí / 77 no. Conflicto sustantivo directo entre facilitación de concesiones/contratación y resguardos amplios de integridad/regulación; no es una votación de admisibilidad"
88937,12,1.45352912,article_original,pending_exact,pending,IV,ARTICLE27_31_THIN_MINORITY,partial,"Artículo directo cuyo contenido exacto queda como residuo secundario","139 sí / 12 no / 1 abstención. Por su forma es evidencia de localización/minoría específica; el texto exacto pendiente no bloquea el cierre interpretativo de D1"
88962,13,1.43173683,article_original,F2_taxation_revenue_distribution,corporate_income_tax_rate_transition,I,CORPORATE_TAX_RATE_TRANSITION,closed,"Regula la transición o gradualidad asociada a la rebaja de la tasa del impuesto de Primera Categoría dentro de la reforma tributaria del proyecto","77 sí / 76 no. Decisión directa de política tributaria; distinguirla de una votación separada sobre admisibilidad de una indicación parlamentaria relativa a la misma disposición transitoria"
88950,14,1.43026781,inadmissibility_reconsideration,F7_public_management_data_accountability+F4_environment_territory_sector_regulation,sector_governance_remuneration_limits,III,SECTOR_REMUNERATION_ADMISSIBILITY,partial,"Reconsideración de inadmisibilidad de una indicación de regulación remuneracional/gobernanza en el sector eléctrico","76 sí / 76 no / 1 abstención. El empate casi perfecto es procedimental, no una decisión directa sobre el fondo; conservar como evidencia contextual"
89482,15,1.30759108,senate_amendment,pending_exact,pending,III,JUL21_THIRD_READING_SERIAL_BLOCK,partial,"Enmienda del Senado en tercer trámite; contenido exacto secundario para el cierre actual","98 sí / 47 no. Pertenece al bloque serial del 21 de julio; no contar como evidencia sustantiva independiente sin exégesis específica"
89474,16,1.29516327,senate_amendment,pending_exact,pending,III,JUL21_THIRD_READING_SERIAL_BLOCK,partial,"Enmienda del Senado que reemplaza una disposición del proyecto en tercer trámite","98 sí / 46 no. Pertenece al bloque serial del 21 de julio; se descuenta como evidencia independiente"
89487,17,1.28455722,senate_amendment,pending_exact,pending,III,JUL21_THIRD_READING_SERIAL_BLOCK,partial,"Enmienda del Senado en tercer trámite; contenido exacto secundario para el cierre actual","96 sí / 48 no. Coalición altamente similar a otras enmiendas del mismo trámite; no multiplicar la misma estructura gobierno-oposición"
89483,18,1.25971508,senate_amendment,pending_exact,pending,III,JUL21_THIRD_READING_SERIAL_BLOCK,partial,"Enmienda del Senado en tercer trámite; contenido exacto secundario para el cierre actual","95 sí / 50 no. Se conserva como parte de la secuencia serial, no como prueba sustantiva independiente"
89493,19,1.25571465,senate_amendment,pending_exact,pending,III,JUL21_THIRD_READING_SERIAL_BLOCK,partial,"Enmienda del Senado/transitorio en tercer trámite; contenido exacto secundario para el cierre actual","94 sí / 51 no. Mismo problema de serialidad; la exégesis individual puede completarse después sin alterar el cierre interpretativo"
88946,20,1.23394608,renewed_amendment,F1_reconstruction_emergency_housing,catastrophe_utility_reconnection,II,CATASTROPHE_UTILITY_RECONNECTION,closed,"Obliga a empresas eléctricas, sanitarias y de gas a reconectar gratuitamente a hogares y mipymes en zonas declaradas de catástrofe, con plazos y compensaciones por retrasos","80 sí / 69 no / 4 abstenciones. Voto sustantivo directo; oposición casi unida a favor y derecha/oficialismo mayoritariamente en contra. Aporta un dominio adicional de protección social/regulación en emergencia"
