project_id,boletin,titulo,fecha_ingreso,origen_iniciativa,tipo_iniciativa,tipo_iniciativa_codigo,camara_origen,camara_origen_codigo,admisible
18794,18131-06,"Modifica la ley Nº 18.575, orgánica constitucional de Bases Generales de la Administración del Estado, para incorporar una nueva infracción al principio de probidad administrativa, relacionada con la contratación o nombramiento de personas inhabilitadas para trabajar con niños, niñas o adolescentes",2026-03-17,parlamentario,Moción,2,Cámara de Diputados,1,true
18795,18132-04,"Modifica la ley Nº 20.370, General de Educación, para sancionar a padres y apoderados cuyos hijos o pupilos participen en hechos constitutivos de acoso escolar",2026-03-17,parlamentario,Moción,2,Cámara de Diputados,1,true
18797,18133-07,Modifica la Carta Fundamental para asignar a las Fuerzas Armadas un rol coadyuvante en el resguardo del orden público y la seguridad interior del país,2026-03-17,parlamentario,Moción,2,Cámara de Diputados,1,true
18798,18135-06,"Modifica la ley N° 18.575, orgánica constitucional de Bases Generales de la Administración del Estado, para resguardar la soberanía nacional en la ejecución de políticas públicas",2026-03-17,parlamentario,Moción,2,Cámara de Diputados,1,true
18822,18157-33,Prorroga el plazo para la regularización e inscripción de derechos de aprovechamiento de aguas hasta el año 2030,2026-04-06,parlamentario,Moción,2,Cámara de Diputados,1,true
18838,18178-10,"Aprueba el Acuerdo entre el Gobierno de la República de Chile y el Gobierno de la República de Tayikistán sobre la exención mutua del requisito de visa para titulares de pasaportes diplomáticos oficiales y de servicio, suscrito en Dushanbe, República de Tayikistán, el 9 de marzo de 2023",2026-04-15,ejecutivo,Mensaje,1,Cámara de Diputados,1,true
18871,18215-10,"Acuerdo de mutua exención del requisito de visa para los titulares de pasaportes diplomáticos, especiales y oficiales entre el Gobierno de la República de Chile y el Gobierno del Estado de Catar",2026-04-22,ejecutivo,Mensaje,1,Cámara de Diputados,1,true
18886,18232-25,"Modifica la ley N° 21.659, sobre seguridad privada, para aumentar el plazo de presentación y pronunciamiento sobre los estudios de seguridad que dispone, y extiende la prórroga de vigencia de la última autorización del personal de seguridad privada que indica",2026-05-04,ejecutivo,Mensaje,1,Cámara de Diputados,1,true
18919,18256-10,"Aprueba el Acuerdo entre la República de Chile y la República Helénica sobre el empleo remunerado de dependientes de miembros de una misión diplomática o representación consular, suscrito en Santiago, el 24 de abril de 2024",2026-05-18,ejecutivo,Mensaje,1,Cámara de Diputados,1,true
18920,18257-10,"Aprueba el Acuerdo general sobre los privilegios e inmunidades de la Organización Internacional de Policía Criminal-INTERPOL, aprobado en Marrakech, Marruecos, el 24 de noviembre de 2025",2026-05-18,ejecutivo,Mensaje,1,Cámara de Diputados,1,true
