boletin,topic_primary,topic_secondary,reviewer,method,confidence,rationale,reviewed_at,taxonomy_version,status
"18481-07","Gobierno interior y descentralización","Constitución y justicia","modelo_lenguaje_revision_completa","revision_semantica","0.98","El objeto central es fortalecer probidad, conflictos de interés e integridad en el ejercicio de funciones públicas; las reformas legales y constitucionales son el instrumento jurídico.","2026-09-02","institutional-hybrid-v0.3","aprobado"
"18395-07","Constitución y justicia","Gobierno interior y descentralización | Economía, comercio y consumidores","modelo_lenguaje_revision_completa","revision_semantica","0.96","La iniciativa crea o refuerza sanciones penales frente a usura y lucro abusivo en contrataciones estatales; contratación pública y dimensión económica son secundarias.","2026-09-02","institutional-hybrid-v0.3","aprobado"
"18566-07","Gobierno interior y descentralización","Seguridad | Constitución y justicia","modelo_lenguaje_revision_completa","revision_semantica","0.95","Regula estándares de probidad e integridad aplicables a autoridades mediante controles de drogas; narcotráfico y diseño constitucional son finalidades conexas.","2026-09-02","institutional-hybrid-v0.3","aprobado"
"18615-07","Administración parlamentaria","Constitución y justicia | Territorio y zonas extremas","modelo_lenguaje_revision_completa","revision_semantica","0.97","Establece deberes de representación territorial de senadores y diputados, por lo que regula directamente el ejercicio de la función parlamentaria.","2026-09-02","institutional-hybrid-v0.3","aprobado"
"18535-07","Vivienda y territorio","Constitución y justicia | Infraestructura y obras públicas","modelo_lenguaje_revision_completa","revision_semantica","0.92","La regla sustantiva facilita servidumbres de tránsito para predios rurales e insulares sin acceso adecuado; el derecho civil y el procedimiento son instrumentos.","2026-09-02","institutional-hybrid-v0.3","aprobado"
"18353-07","Constitución y justicia","Salud | Personas mayores y discapacidad","modelo_lenguaje_revision_completa","revision_semantica","0.96","La iniciativa modifica el cumplimiento de penas privativas de libertad mediante una conmutación excepcional; enfermedad, dependencia y edad avanzada fundan la excepción humanitaria.","2026-09-02","institutional-hybrid-v0.3","aprobado"
"18251-07","Vivienda y territorio","Constitución y justicia | Economía y hacienda","modelo_lenguaje_revision_completa","revision_semantica","0.95","La finalidad sustantiva es proteger la vivienda principal frente al embargo; la modificación procesal civil y el endeudamiento son dimensiones instrumentales.","2026-09-02","institutional-hybrid-v0.3","aprobado"
"18580-07","Defensa","Constitución y justicia | Gobierno interior y descentralización","modelo_lenguaje_revision_completa","revision_semantica","0.94","La reforma regula la relación entre altos mandos de Fuerzas Armadas y de orden y cargos políticos de confianza; el mecanismo es una inhabilidad constitucional.","2026-09-02","institutional-hybrid-v0.3","aprobado"
"18572-07","Familia, infancia y adolescencia","Constitución y justicia | Personas mayores y discapacidad","modelo_lenguaje_revision_completa","revision_semantica","0.96","El bien protegido central es la indemnidad sexual de niños y adolescentes frente a incitación y apología; la discapacidad agrava la vulnerabilidad y la tipificación penal es instrumental.","2026-09-02","institutional-hybrid-v0.3","aprobado"
"18285-05","Economía y hacienda","Gobierno interior y descentralización","modelo_lenguaje_revision_completa","revision_semantica","0.99","Regula publicidad y transparencia de modificaciones presupuestarias; el núcleo es el manejo y control del presupuesto público.","2026-09-02","institutional-hybrid-v0.3","aprobado"
"18602-07","Constitución y justicia","","modelo_lenguaje_revision_completa","revision_semantica","0.93","El proyecto agrava sanciones penales por maltrato animal y la taxonomía actual no contiene una categoría específica de bienestar animal; se conserva la materia penal como clasificación principal sin forzar un tema ambiental o agrícola.","2026-09-02","institutional-hybrid-v0.3","aprobado"
"18292-07","Seguridad","Constitución y justicia","modelo_lenguaje_revision_completa","revision_semantica","0.97","La finalidad declarada es fortalecer la persecución penal frente a la reincidencia y responder a problemas de seguridad pública; las reformas procesales son el instrumento.","2026-09-02","institutional-hybrid-v0.3","aprobado"
"18359-07","Administración parlamentaria","Constitución y justicia | Gobierno interior y descentralización","modelo_lenguaje_revision_completa","revision_semantica","0.97","Refuerza el cumplimiento de requerimientos de fiscalización de la Cámara al Ejecutivo, por lo que afecta directamente la función fiscalizadora parlamentaria.","2026-09-02","institutional-hybrid-v0.3","aprobado"
"18186-07","Constitución y justicia","Gobierno interior y descentralización","modelo_lenguaje_revision_completa","revision_semantica","0.96","Es una iniciativa de depuración legislativa que deroga expresamente una norma obsoleta; las antiguas referencias a autoridades fiscales y militares son el contenido histórico de la disposición eliminada.","2026-09-02","institutional-hybrid-v0.3","aprobado"
"18276-07","Constitución y justicia","Trabajo y seguridad social","modelo_lenguaje_revision_completa","revision_semantica","0.97","Actualiza la terminología del tipo penal de hurto doméstico; la referencia a relaciones laborales históricas es secundaria frente al objeto penal.","2026-09-02","institutional-hybrid-v0.3","aprobado"
"18369-07","Seguridad","Economía y hacienda | Constitución y justicia","modelo_lenguaje_revision_completa","revision_semantica","0.98","La iniciativa combate el contrabando de tabaco mediante aumento de penas; pérdida fiscal y Ordenanza de Aduanas son dimensiones económicas y jurídicas secundarias.","2026-09-02","institutional-hybrid-v0.3","aprobado"
"18416-07","Familia, infancia y adolescencia","Seguridad | Constitución y justicia | Derechos humanos","modelo_lenguaje_revision_completa","revision_semantica","0.94","El foco es reforzar la protección penal de víctimas menores de edad frente a trata de personas mediante imprescriptibilidad y reglas especiales; persecución criminal y derechos humanos son dimensiones conexas.","2026-09-02","institutional-hybrid-v0.3","aprobado"
"18482-07","Gobierno interior y descentralización","Constitución y justicia | Economía y hacienda","modelo_lenguaje_revision_completa","revision_semantica","0.96","Regula conflictos de interés y probidad de autoridades durante la formación de la ley cuando pueden obtener beneficio patrimonial; la reforma constitucional es el instrumento.","2026-09-02","institutional-hybrid-v0.3","aprobado"
"18217-07","Seguridad","Constitución y justicia","modelo_lenguaje_revision_completa","revision_semantica","0.99","El objeto explícito es mejorar la persecución de criminalidad organizada y terrorismo; las modificaciones procesales y penales constituyen el medio jurídico.","2026-09-02","institutional-hybrid-v0.3","aprobado"
"18458-07","Constitución y justicia","Relaciones exteriores | Seguridad","modelo_lenguaje_revision_completa","revision_semantica","0.94","La medida busca garantizar acceso efectivo a la justicia a turistas extranjeros víctimas de delitos; condición extranjera y contexto de seguridad son secundarios.","2026-09-02","institutional-hybrid-v0.3","aprobado"
"18610-07","Educación","Economía y hacienda | Constitución y justicia","modelo_lenguaje_revision_completa","revision_semantica","0.95","El proyecto incide directamente en créditos destinados al financiamiento de estudios superiores; prescripción de cobro y consecuencias fiscales son dimensiones secundarias.","2026-09-02","institutional-hybrid-v0.3","aprobado"
"18216-05","Economía y hacienda","Trabajo y seguridad social | Desarrollo social | Infraestructura y obras públicas","modelo_lenguaje_revision_completa","revision_semantica","0.91","Es un mensaje amplio de reconstrucción y reactivación económica y social; por su origen en Hacienda y diseño económico-fiscal se clasifica allí, conservando empleo, desarrollo social e infraestructura como dimensiones secundarias.","2026-09-02","institutional-hybrid-v0.3","aprobado"
