boletin,project_id,fecha_ingreso,origen_iniciativa,boletin_suffix,titulo,document_type,text_quality,cleaned_chars,text_excerpt,topic_primary,topic_secondary,coder,review_status,notes
18137-05,18800,2026-03-24,ejecutivo,05,"Adopta medidas transitorias para contener el precio del kerosene doméstico en el contexto de la emergencia energética internacional, y otras medidas que indica",texto_mensaje,rica,17792,"MENSAJE DE S.E. EL PRESIDENTE DE LA REPÚBLICA CON EL QUE INICIA UN PROYECTO DE LEY QUE ADOPTA MEDIDAS TRANSITORIAS PARA CONTENER EL PRECIO DEL KEROSENE DOMÉSTICO EN EL CONTEXTO DE LA EMERGENCIA ENERGÉTICA INTERNACIONAL, Y OTRAS MEDIDAS QUE INDICA. ________________________________ Santiago, 24 de marzo de 2026 MENSAJE N° 003-374/ A S.E. EL PRESIDENTE DE LA H. CÁMARA DE DIPUTADOS. Honorable Cámara de Diputados: Tengo el honor de someter a vuestra consideración un proyecto de ley que adopta medidas transitorias para contener el precio del kerosene doméstico en el contexto de la emergencia energética internacional, y otras medidas que indica. ANTECEDENTES El mundo enfrenta hoy una situación excepcional en materia energética. El conflicto bélico en Medio Oriente ha generado una disrupción significativa en la producción y transporte de hidrocarburos, afectando particularmente zonas estratégicas para el comercio global de petróleo. Este escenario constituye una de las mayores amenazas recientes para la estabilidad energética mundial. En este contexto, los precios internacionales del petróleo han experimentado un alza abrupta y de magnitud inusitada. En pocas semanas, el precio del crudo Brent ha aumentado en más de un 50%, constituyendo un shock de oferta macroeconómico de carácter extraordinario. Esta alza se ha transmitido rápidamente a sus principales derivados, incluyendo las gasolinas, el diésel y el kerosene. Chile, en su calidad de país importador de combustibles, no es ajeno a estos efectos. La totalidad de las gasolinas, diésel y kerosene doméstico consumidos en el país proviene de importaciones directas o de la refinación de crudo importado, lo que implica una transmisión prácticamente inmediata de las variaciones internacionales a los precios internos. LIMITACIONES DEL MECANISMO DE ESTABILIZACIÓN Y RESTRICCIÓN FISCAL Chile cuenta con dos mecanismos para la estabilización de precios de los combustibles. Por una parte, existe el Mecanismo de Estabilización de los Precios de los Combustibles (“MEPCO”), que aplica principalmente sobre las gasolinas y el diésel, y también, en menor medida sobre el gas licuado de petróleo de consumo vehicular y el gas natural comprimido de consumo vehicular. Por otro lado, existe el Fondo de Estabilización de Precios del Petróleo (“FEPP”) que hoy aplica sobre el kerosene doméstico. La finalidad común del MEPCO y FEPP es atenuar las fluctuaciones de corto plazo en los precios internos. Sin embargo, dichos mecanismos no fueron diseñados para absorber shocks prolongados o de gran magnitud, ni para aislar permanentemente a la ",,,,pending,
18158-13,18823,2026-04-06,parlamentario,13,Modifica el Código del Trabajo para establecer fuero laboral para trabajadores y trabajadoras con diagnóstico de cáncer,ingreso_proyecto,rica,6734,"PROYECTO DE LEY QUE MODIFICA EL CÓDIGO DEL TRABAJO PARA ESTABLECER FUERO LABORAL PARA TRABAJADORES Y TRABAJADORAS CON DIAGNÓSTICO DE CÁNCER. I. Antecedentes Durante los últimos años el cáncer ha producido cada vez más muertes a nivel mundial, generando altos costos económicos y sociales tanto para los pacientes como para los Estados. Según diversos estudios, el cáncer está fuertemente ligado a determinantes sociales de la salud tales como el nivel socioeconómico, el nivel educacional, condiciones laborales y calidad de recursos básicos y sanitarios. De esta manera, es posible evidenciar marcadas inequidades en la distribución de esta patología. Según información entregada por el Ministerio de Salud, el cáncer es uno de los principales problemas de salud que enfrentan los chilenos y la segunda causa de fallecimiento, con al alrededor de 28.000 personas cada año, aunque en algunas regiones del país ya ha llegado al primer lugar, superando a causas asociadas al sistema circulatorio. Se proyecta que durante los próximos años el cáncer se instale como la principal causa de muerte en Chile, por lo que a lo largo de los años se ha profundizado en una política de estado que entiende el cáncer como un problema de salud pública, implementando estrategias para brindar una atención integral y oportuna a las personas. Durante los últimos años se ha incrementado el diagnóstico de esta enfermedad en población en edad laboral, particularmente entre 45 y 64 años, grupo que representa cerca del 50% de los nuevos diagnósticos según 06-04-2026 16:49 datos presentados por el Departamento de Estadísticas e Información de Salud del Minsal. Debido a esto, se ha vuelto cada vez más necesario implementar medidas de protección hacia los trabajadores que les permita recuperarse en condiciones óptimas. Esta enfermedad no solo conlleva consecuencias en la salud de las personas diagnosticadas, sino que también implica una serie de consecuencias emocionales y económicas para el paciente y su familia. El impacto económico del cáncer es devastador, especialmente para quienes están en edad productiva. En Chile, los costos directos del tratamiento oncológico superan los US$1.200 millones anuales según estimaciones del Ministerio de Salud, mientras que las familias de pacientes en edad laboral enfrentan importantes gastos, agravando situaciones de vulnerabilidad y los obliga a endeudarse o abandonar tratamientos por falta de recursos. En ese sentido, la estabilidad laboral es fundamental para garantizar que trabajadores diagnosticados con cáncer puedan enfocarse en su salud sin temor a desp",,,,pending,
18153-24,18818,2026-04-07,parlamentario,24,Declara patrimonio Biocultural de la Nación las especies vegetales que indica,ingreso_proyecto,rica,4356,"PROYECTO DE LEY DEL H.D. CRISTIAN CONTRERAS SOBRE LA PROTECCIÓN Y RECONOCIMIENTO DE LAS PLANTAS ENTEÓGENAS AUTÓCTONAS Antecedentes La relación entre los pueblos originarios y las plantas enteógenas es un pilar fundamental de la espiritualidad y la medicina ancestral en Chile. Sin embargo, la actual política de drogas ha criminalizado sistemáticamente estas prácticas, desconociendo el valor patrimonial y místico de especies autóctonas únicas. Chile posee una flora nativa con propiedades psicoactivas que han sido utilizadas por milenios en contextos rituales. Las más destacadas son: ●Latua pubiflora (Latúe o Palo de los Brujos): Arbusto endémico de las zonas húmedas de Los Ríos y Los Lagos. Contiene alcaloides como atropina y escopolamina. Para el pueblo Mapuche, es una planta de gran poder chamánico, utilizada por los ""boquibuyes"" para visiones y curaciones complejas. ●Desfontainia spinosa (Taique o Chapico): Se distribuye desde la zona central hasta Magallanes. Sus hojas contienen principios activos que alteran la percepción y se han usado tradicionalmente como sedante y en ritos de pasaje. ●Trichocereus pachanoi (San Pedro): Aunque de origen andino extendido, es pieza central en la mística de los pueblos del norte (Aymaras, Atacameños), quienes lo utilizan en ceremonias de conexión con lo sagrado. El problema reside en que estas plantas, al contener sustancias controladas, son tratadas por la Ley N° 20.000 bajo el mismo prisma que las drogas sintéticas de tráfico ilícito, ignorando su contexto biocultural. Esto ha llevado a la persecución de Machis y autoridades tradicionales, vulnerando su libertad de culto. El Estado de Chile ratificó el Convenio 169 de la OIT, que reconoce el derecho de los pueblos indígenas a mantener y fortalecer sus propias manifestaciones culturales y religiosas. El artículo 5 del convenio obliga a los gobiernos a reconocer y proteger los 17-03-2026 09:14 valores y prácticas sociales, culturales y religiosos de estos pueblos. Asimismo, la Ley N° 21.600 (SBAP) ya establece la categoría de Área de Conservación de Pueblos Indígenas, donde se debe valorar y resguardar el saber ancestral en relación con la biodiversidad. Por tanto, existe una contradicción normativa entre la ley de drogas que criminaliza y la ley ambiental que busca proteger el saber indígena. •Protección de la Libertad de Culto: La mística indígena es inseparable de su farmacopea sagrada. Criminalizar la planta es criminalizar la creencia. •Conservación de Especies Endémicas: Especies como el Latúe no están en peligro de extinción, pero su hábitat se ve amenazado por",,,,pending,
18156-04,18814,2026-04-07,ejecutivo,04,"Establece medidas de seguridad, orden y respeto para la comunidad educativa",texto_mensaje,rica,20452,"MENSAJE DE S.E. EL PRESIDENTE DE LA REPÚBLICA CON EL QUE INICIA UN PROYECTO DE LEY QUE ESTABLECE MEDIDAS DE SEGURIDAD, ORDEN Y RESPETO PARA LA COMUNIDAD EDUCATIVA. Santiago, 07 de abril de 2026 MENSAJE N° 010-374/ Honorable Cámara de Diputados: A S.E. EL PRESIDENTE DE LA H. CÁMARA DE DIPUTADOS. En uso de mis facultades constitucionales, tengo el honor de someter a vuestra consideración el siguiente proyecto de ley, que tiene por objeto fortalecer las herramientas de seguridad, orden y respeto de la comunidad educativa. ANTECEDENTES En los últimos años, los establecimientos educacionales han experimentado un deterioro progresivo en las condiciones de convivencia y seguridad de la comunidad educativa. Esto resulta evidente al examinar evidencia nacional e internacional sobre la percepción de seguridad al interior de los establecimientos educacionales. Por ejemplo, la encuesta Teaching and Learning International Survey (“TALIS”), que es un estudio internacional liderado por la Organización para la Cooperación y el Desarrollo Económicos (“OCDE”) que analiza las condiciones de enseñanza y aprendizaje en las escuelas, a partir de encuestas a profesores y directores de educación secundaria (7° y 8° básico), proporciona información comparativa sobre el clima escolar, la evaluación y el desarrollo profesional, para ayudar a los países a diseñar políticas que mejoren la calidad y eficacia de la educación. En cuanto aquellos aspectos que son fuentes de estrés, un 54,2% de los docentes chilenos declara que mantener la disciplina en el aula les genera estrés ""bastante"" o ""mucho"", una cifra superior al 44,8% promedio de la OCDE y solo superada por países como Brasil (63,8%) y Portugal (62,1%). Respecto a sentirse intimidado o insultado verbalmente por estudiantes, Chile alcanza un 28,4%, también por encima del promedio OCDE (17,6%) y con valores similares a Corea (30,7%) y Brasil (46,6%). Finalmente, ser responsable del bienestar social y emocional de los estudiantes es una fuente de estrés para el 47,5% de los profesores chilenos, nuevamente sobre el promedio OCDE (39,9%) y comparable con Costa Rica (41,6%) y España (43,8%). Respecto a los problemas de comportamiento, los datos muestran que Brasil (58,7%) y Chile (55,2%) lideran el porcentaje de docentes que declaran experimentar estrés por la fuente consultada, ubicándose muy por encima del promedio OCDE (34,1%) y del promedio TALIS (30,6%). De hecho, Chile duplica aproximadamente el promedio de la OCDE, lo que indica una realidad particularmente demandante para los profesores chilenos en este aspecto. En contraste,",,,,pending,
18162-07,18821,2026-04-08,parlamentario,07,"Modifica diversos cuerpos legales, con el objeto de fortalecer el cumplimiento de las sanciones y la persecución de delitos graves en materia de responsabilidad penal adolescente",ingreso_proyecto,rica,12762,"Boletín N° 18.162-07 Proyecto de ley, iniciado en Moción de los Honorables Senadores señoras Núñez y Vodanovic y señores Araya, Bianchi y Flores, que modifica diversos cuerpos legales, con el objeto de fortalecer el cumplimiento de las sanciones y la persecución de delitos graves en materia de responsabilidad penal adolescente. FUNDAMENTOS El sistema de responsabilidad penal adolescente, establecido por la ley N° 20.084, fue concebido sobre la base de un equilibrio entre responsabilidad y reinserción social. Dicho modelo ha permitido avanzar en un tratamiento diferenciado de los adolescentes en conflicto con la ley penal, acorde a su etapa de desarrollo. Sin embargo, la evolución reciente de la criminalidad juvenil ha tensionado ese equilibrio, evidenciando falencias tanto en la determinación de las sanciones como en su ejecución efectiva. En particular, se ha observado una mayor participación de adolescentes en delitos de alta gravedad, especialmente en aquellos mayores de dieciséis años. Frente a estos hechos, la respuesta del sistema no siempre logra reflejar adecuadamente la entidad del daño causado, lo que ha generado una percepción extendida de insuficiencia y ha debilitado la confianza en su funcionamiento. A ello se suma un problema estructural en la fase de ejecución. El incumplimiento de las sanciones, la inasistencia a programas o la evasión del sistema no siempre tienen consecuencias oportunas y proporcionales. Esto termina por restar eficacia a las decisiones judiciales y limita la capacidad del sistema para incidir en las trayectorias delictivas. Asimismo, el tratamiento de la reiteración delictual no siempre permite distinguir de manera suficiente entre conductas aisladas y trayectorias persistentes. La adecuada consideración del historial delictual resulta indispensable para una correcta individualización de la sanción. En materia de ejecución, subsisten además debilidades relevantes. No en todos los casos se aseguran condiciones que favorezcan procesos efectivos de reinserción, tales como la continuidad educativa, la intervención en consumo problemático de sustancias o l a adecuada segmentación de los jóvenes según la naturaleza y gravedad de los delitos cometidos. La convivencia de infractores de distinta lesividad puede afectar negativamente los procesos de intervención. Junto con lo anterior, una de las principales limitaciones del sistema radica en la fragmentación institucional. La intervención sobre adolescentes infractores requiere de la participación coordinada de diversos órganos del Estado, particularmente en ámbitos como salud",,,,pending,
18163-14,18828,2026-04-08,parlamentario,14,"Modifica la ley N° 20.898, que establece un procedimiento simplificado para la regularización de viviendas de autoconstrucción, con el objeto de establecer un mecanismo para la formulación de observaciones y subsanación de éstas y extender el plazo de vigencia del procedimiento",ingreso_proyecto,rica,11355,"1 PROYECTO DE LEY QUE MODIFICA LA LEY N° 20.898 INTRODUCIENDO UN PROCEDIMIENTO EXPRESO DE OBSERVACIONES Y SUBSANACIÓN EN LOS TRÁMITES DE REGULARIZACIÓN DE VIVIENDAS DE AUTOCONSTRUCCIÓN Y PRORROGAR SU VIGENCIA FUNDAMENTOS: La Ley N° 20.898, conocida coloquialmente como la “Ley del Mono” y publicada en el año 2016, estableció un procedimiento simplificado y extraordinario para la regularización de determinadas viviendas y edificaciones construidas sin permiso de edificación o que, habiéndolo obtenido, carec ían de recepción definitiva, siempre y cuando cumplieran con los requisitos que la propia ley establece. Su finalidad fue facilitar la formalización de inmuebles ya materialmente consolidados, permitiendo a sus propietarios obte ner simultáneamente el permiso y recepción definitiva, acceder a mayor certeza jurídica y, en su caso, optar a beneficios asociados a la regularización, propósito por el cual es fácil de dilucidar con la sola lectura del texto legal. Actualmente, el Título I de la ley permite a los propietarios de viviendas que no cuenten con recepción definitiva, total o parcial, ingresar solicitudes de regularización hasta el 31 de diciembre de 2027, exigiendo, entre otros presupuestos, que las viviendas hayan sido construidas antes de la publicación de la ley, es decir, antes del 04 de febrero del año 2016. 08-04-2026 11:02 2 Del mismo modo, el régimen aplicable a microempresas inofensivas y equipamiento social también mantiene hoy como fecha límite de ingreso el 31 de diciembre de 2027, y exige que las edificaciones respectivas hayan sido construidas antes de la publicación de esta norma. La evolución legislativa posterior confirma que el problema que la ley intentó abordar no se ha extinguido , puesto que, desde su entrada en vigencia, el Congreso Nacional ha debido prorrogar sucesivamente este régimen especial . En primera instancia, mediante la ley N° 21.141, luego por la ley N° 21.415, más tarde por la ley N° 21.558, que fijó el plazo hasta el 31 de diciembre de 2025 y, finalmente, por la ley N° 21.725, publicada el 1 de marzo de 2025, que volvió a extenderlo hasta el 31 de diciembre de 2027. Esta secuencia demuestra que la necesidad de regularización sigue siendo persistente y que el legislador ha estimado que subsisten razones de interés público para mantener abierto este mecanismo excepcional. En particular, la ley N° 21.725 tuvo por objeto ampliar los plazos de vigencia del procedimiento simplificado para la regularización de viviendas de autoconstrucción, buscando agilizar su formalización, asegurar su integración al marco normativo",,,,pending,
18164-17,18826,2026-04-08,parlamentario,17,"Modifica la ley N° 20.405, del Instituto Nacional de Derechos Humanos, en lo relativo a sus reglas de funcionamiento y obligaciones de información",ingreso_proyecto,rica,10473,"Boletín N° 18.164-17 Proyecto de ley, iniciado en Moción de los Honorables Senadores señor Longton, señora Balladares, y señores Cruz -Coke, Sanhueza y Trisotti, que modifica la ley N° 20.405, del Instituto Nacional de Derechos Humanos, en lo relativo a sus reglas de funcionamiento y obligaciones de información. I. ANTECEDENTES Y FUNDAMENTOS Qué duda cabe de la relevancia de los derechos humanos. Su fuerza normativa “es previa a cualquier ordenamiento jurídico (...) se identifican con nuestra propia y específica forma de existencia en el universo. En otras palabras, ellos son parte de nuestra propia identidad” 1. Son universales, inalienables, irrenunciables e intrínsecos a toda persona por el hecho de ser persona. Estos se encuentran consagrados positivamente2 en la Constitución y en los Tratados Internacionales sobre Derechos Humanos suscritos y ratificados por Chile. De ahí que el inciso segundo del art. 5 de la Constitución, establece que “[e]l ejercicio de la soberanía reconoce como limitación el respeto a los derechos esenciales que emanan de la naturaleza humana. Es deber de los órganos del Estado respetar y promover tales derechos, garantizados por esta Constitución, así como por los tratados internacionales ratificados por Chile y que se encuentren vigentes” (Lo subrayado es nuestro). Por ello, la relevancia de una institución, cuyo mandato fundamental sea velar por el respeto, protección y promoción de los derechos humanos resulta esencial. Para estos efectos se creó el Instituto Nacional de Derechos Humanos 3. El art. 2 de la ley N° 20.405 establece que ""[e]l Instituto tiene por objeto la promoción y protección de los derechos humanos de las personas que habiten en el territorio de Chile, establecidos en las normas constitucionales y legales; en los tratados internacionales suscritos y ratificados por Chile y que se encuentran vigentes, así como los emanados de los principios generales del derecho, reconocidos por la comunidad internacional” (Lo subrayado es nuestro). Lamentablemente, la actuación del INDH en la práctica, dista mucho del rol que se pretende conforme a su Ley Orgánica, siendo foco de una mirada de los derechos humanos ______________________________ 1 Gonzalo Candia, Introducción al Derecho Internacional de los Derechos Humanos (Santiago: Ediciones UC, 2016) 18. 2 Sin perjuicio de que su existencia no depende de su reconocimiento positivo. 3 INDH. parcelada e ideologizada que termina capturando para un sector político algo que por naturaleza es patrimonio de todos. En tal sentido, urge modificar dicha normativa, permitiendo supe",,,,pending,
18192-25,18853,2026-04-15,parlamentario,25,"Modifica diversos cuerpos legales, con el objeto de fortalecer la persecución penal de la distribución digital ilícita y proteger a los consumidores",ingreso_proyecto,rica,18793,"Boletín N° 18.192-25 Proyecto de ley, iniciado en Moción de los Honorables Senadores señora Núñez y señores Bianchi, Kusanovic, Moreira y Saavedra, que modifica diversos cuerpos legales, con el objeto de fortalecer la persecución penal de la distribución digital ilícita y proteger a los consumidores. Fundamentos El desarrollo de tecnologías digitales ha permitido una expansión significativa del acceso a contenidos audiovisuales, pero también ha facilitado la proliferación de servicios que operan al margen del ordenamiento jurídico, distribuyendo obras protegidas sin autorización de sus titulares. Este fenómeno no solo vulnera la normativa sobre propiedad intelectual, sino que configura un ecosistema más amplio de riesgos que afectan directamente a los consumidores, al funcionamiento de los mercados y a la capacidad del Estado para hacer cumplir la ley. En Chile, la difusión de plataformas digitales y dispositivos configurados para acceder a contenidos ilícitos ha alcanzado niveles relevantes de masificación. Se trata de servicios que no operan de forma aislada, sino que se estructuran a través de cadenas de distribución que incluyen aplicaciones, repositorios de descarga, dispositivos preconfigurados, sistemas de suscripción y mecanismos de pago. Esta arquitectura permite una rápida adaptación frente a medidas judiciales, facilitando la reaparición consta nte de los servicios bajo nuevas denominaciones, dominios o formatos técnicos. A lo anterior se suma un aspecto especialmente sensible: el impacto en los usuarios. Muchas de estas aplicaciones y dispositivos operan sin estándares mínimos de seguridad, con permisos extensivos y sin información adecuada sobre su funcionamiento. Ello ex pone a los consumidores a riesgos de acceso indebido a sus datos personales, credenciales, medios de pago e incluso a funciones sensibles de sus dispositivos, generando un problema que trasciende la mera infracción a la propiedad intelectual y se sitúa en el ámbito de la seguridad digital. El ordenamiento jurídico vigente contempla herramientas relevantes para abordar estas conductas, tanto en materia de propiedad intelectual como de delitos informáticos y protección del consumidor. Sin embargo, dichas herramientas han sido concebidas de manera fragmentada y no siempre dialogan adecuadamente frente a fenómenos que operan de forma integrada y transnacional. En particular, las normas actuales presentan dificultades para enfrentar la participación de intermediarios digitales globales, cuya actuación resulta decisiva en la localización, distribución y monetización de estos serv",,,,pending,
18194-08,18855,2026-04-15,parlamentario,08,Crea un régimen jurídico especial aplicable a los minerales críticos,ingreso_proyecto,rica,31111,"Boletín N° 18.194-08 Proyecto de ley, iniciado en Moción de los Honorables Senadores señora Núñez y señores Calisto, Flores y Saavedra, que crea un régimen jurídico especial aplicable a los minerales críticos. FUNDAMENTOS El desarrollo tecnológico contemporáneo, la transición energética, la digitalización de los procesos productivos y las exigencias crecientes en materia de defensa, infraestructura crítica y manufactura avanzada han modificado sustantivamente el valor económico y estratégico de ciertos recursos minerales. En ese nuevo escenario, algunos minerales han dejado de ser apreciados únicamente por su condición de insumo extractivo y han pasado a ser comprendidos como elementos cuya disponibilidad continua incide dir ectamente en la estabilidad de cadenas productivas complejas, en la seguridad de suministro de sectores estratégicos y en la capacidad de un país para sostener procesos de innovación, industrialización y autonomía tecnológica. Las denominadas tierras raras se insertan con claridad en esta categoría, tanto por la centralidad que hoy tienen en industrias de alto valor agregado como por la concentración internacional de su producción y procesamiento. La experiencia comparada muestra que el problema ya no se ag ota en la existencia material del recurso, sino en la vulnerabilidad de su cadena de suministro. En términos simples, la discusión actual no versa solo sobre minería, sino sobre capacidad de procesamiento, dependencia externa, trazabilidad, continuidad ope racional y resiliencia frente a interrupciones del mercado. Desde esa perspectiva, los minerales críticos han comenzado a ser tratados por otras jurisdicciones como un asunto de interés económico y estratégico, sometido a reglas especiales de monitoreo, ge stión de riesgos y protección de la cadena de valor. Ese enfoque resulta especialmente pertinente para Chile, cuya tradición minera convive hoy con un marco regulatorio concebido para una lógica predominantemente extractiva, insuficiente para abordar de mo do específico las particularidades técnicas, económicas y geopolíticas de minerales cuya relevancia depende tanto de su explotación como de las etapas posteriores de procesamiento, refinación y circulación. En el caso nacional, la discusión presenta además una oportunidad evidente. La doctrina especializada ha advertido que Chile dispone de recursos vinculados a tierras raras y de fuentes secundarias con potencial de aprovechamiento, pero que el estado actual de la regulación minera no se hace cargo adecuad amente de sus particularidades ni favorece el desarrollo de una cade",,,,pending,
18205-29,18862,2026-04-15,parlamentario,29,"Reconoce al fútbol amateur como actividad de interés público y establece normas sobre prevención de la violencia, seguridad, responsabilidad y transparencia en esa actividad",ingreso_proyecto,rica,18270,"RECONOCE AL FÚTBOL AMATEUR COMO UNA ACTIVIDAD DE INTERÉS PÚBLICO AL TIEMPO QUE ESTABLECE NORMAS SOBRE PREVENCIÓN DE LA VIOLENCIA, SEGURIDAD, RESPONSABILIDAD Y TRANSPARENCIA. Fundamentos. Conforme informa la Asociación Nacional de Fútbol Amateur, los inicios de la práctica del fútbol en Chile se dieron a fines del siglo XIX en la ciudad Puerto de Valparaíso, con motivo de la llegada de embarcaciones europeas, especialmente inglesas. Formado s los primeros clubes, el 19 de junio de 1895 se registra como el día en que nació formalmente el fútbol amateur en nuestro país, pues con esa fecha se formó la primera Asociación de Clubes de Chile. Más de un siglo después, el fútbol amateur se erige como una de las principales expresiones deportivas, sociales y culturales del país. Miles de clubes, deportistas, dirigentes y familias participan activamente en competencias organizadas a lo largo de tod o el territorio nacional, convirtiendo al fútbol amateur en un espacio con un rol social fundamental, que integra vida comunitaria y promoción del deporte. Lo anterior queda demostrado en que es un espacio que reúne a gran cantidad de personas, pues conforme datos de la Asociación Nacional de Fútbol Amateur (ANFA), se registran 993.383 personas, hombres y mujeres, que tienen la calidad de futbolistas amateur. A su vez, la ANFA está integrada por 15 asociaciones regionales (denominadas ARFA), que a su vez se forman por 328 asociaciones locales que agrupan a 3.716 clubes, lo que da cuenta de que la ANFA es la agrupación deportiva más grande del país. Al respecto se debe tener presente que el valor del trámite individual de jugador, lo que se denomina coloquialmente como “pase”, fluctúa entre los $17.000.- y el equivalente a tres veces ese valor, conforme lo estipula el Reglamento de la ANFA1. Sobre las virtudes del deporte comunitario, la evidencia internacional es clara en señalar que el deporte puede mermar factores de riesgo y fortalecer elementos protectores frente a la violencia, el delito y el consumo 1 Reglamento disponible en: https://arfasexta.cl/arfa6/Reglamento-ANFA-Digital.pdf. 15-04-2026 16:47 de sustancias, especialmente entre jóvenes. La Oficina de las Naciones Unidas contra la Droga y el Delito ha señalado expresamente que la participación en programas deportivos puede prevenir la victimización de jóvenes y su involucramiento en hechos de violencia y criminalidad, además de empoderarnos como agentes de cambio positivo dentro de sus comunidades2. En ese sentido, en contextos de vulnerabilidad social, esta dimensión preventiva adquiere una relevancia aún mayo",,,,pending,
